,ID,GeoName,Pop_Change
0,0,United States,12660715
1,1,In metropolitan statistical area,12787721
2,2,"Abilene, TX",4326
3,3,"Akron, OH",1036
4,4,"Albany, GA",-3974
5,5,"Albany, OR",3875
6,6,"Albany-Schenectady-Troy, NY",11117
7,7,"Albuquerque, NM",20226
8,8,"Alexandria, LA",562
9,9,"Allentown-Bethlehem-Easton, PA-NJ",11024
10,10,"Altoona, PA",-1485
11,11,"Amarillo, TX",10123
12,12,"Ames, IA",6479
13,13,"Anchorage, AK",18969
14,14,"Ann Arbor, MI",13814
15,15,"Anniston-Oxford-Jacksonville, AL",-2966
16,16,"Appleton, WI",7341
17,17,"Asheville, NC",21980
18,18,"Athens-Clarke County, GA",10648
19,19,"Atlanta-Sandy Springs-Roswell, GA",424068
20,20,"Atlantic City-Hammonton, NJ",-330
21,21,"Auburn-Opelika, AL",16697
22,22,"Augusta-Richmond County, GA-SC",25273
23,23,"Austin-Round Rock, TX",284547
24,24,"Bakersfield, CA",42545
25,25,"Baltimore-Columbia-Towson, MD",86832
26,26,"Bangor, ME",-1228
27,27,"Barnstable Town, MA",-1555
28,28,"Baton Rouge, LA",27980
29,29,"Battle Creek, MI",-1834
30,30,"Bay City, MI",-2112
31,31,"Beaumont-Port Arthur, TX",5229
32,32,"Beckley, WV",-2394
33,33,"Bellingham, WA",11144
34,34,"Bend-Redmond, OR",17535
35,35,"Billings, MT",9349
36,36,"Binghamton, NY",-5703
37,37,"Birmingham-Hoover, AL",17591
38,38,"Bismarck, ND",14739
39,39,"Blacksburg-Christiansburg-Radford, VA",3489
40,40,"Bloomington, IL",3280
41,41,"Bloomington, IN",6035
42,42,"Bloomsburg-Berwick, PA",-334
43,43,"Boise City, ID",60348
44,44,"Boston-Cambridge-Newton, MA-NH",221909
45,45,"Boston-Cambridge-Newton, MA-NH - Boston, MA Metro Division",96792
46,46,"Boston-Cambridge-Newton, MA-NH - Cambridge-Newton-Framingham, MA Metro Division",114881
47,47,"Boston-Cambridge-Newton, MA-NH - Rockingham County-Strafford County, NH Metro Division",10236
48,48,"Boulder, CO",24801
49,49,"Bowling Green, KY",9837
50,50,"Bremerton-Silverdale, WA",8998
51,51,"Bridgeport-Stamford-Norwalk, CT",31203
52,52,"Brownsville-Harlingen, TX",15937
53,53,"Brunswick, GA",3635
54,54,"Buffalo-Cheektowaga-Niagara Falls, NY",-321
55,55,"Burlington, NC",7035
56,56,"Burlington-South Burlington, VT",5780
57,57,"California-Lexington Park, MD",6262
58,58,"Canton-Massillon, OH",-1444
59,59,"Cape Coral-Fort Myers, FL",83228
60,60,"Cape Girardeau, MO-IL",1259
